MAKE,MODEL,GRADE,CHASSIS NO,STOCK_ID,COLOUR,IMAGE_URL,ENGINE CC,MILEAGE,YEAR/MONTH,LOCATION,PRICE,FEATURES,YEAR,MAKE_MODEL
MERCEDEZ BENZ,G63,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",13790,13790,BLACK,,4000,57000,201900.0,MOMBASA,0,,2019,MERCEDEZ BENZ G63
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",38864,38864,WHITE,,1500,149923,202110.0,,0,,2021,TOYOTA PROBOX
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",13142,13142,WHITE,,1500,120360,201910.0,,0,,2019,TOYOTA PROBOX
TOYOTA,AXIO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",25957,25957,WHITE,,1500,63560,201911.0,,0,,2019,TOYOTA AXIO
MAZDA,DEMIO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",21399,21399,GREY,,1500,72860,201904.0,,0,,2019,MAZDA DEMIO
MERCEDEZ BENZ,E220,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",50745,50745,SILVER,,2000,42758,201901.0,,0,,2019,MERCEDEZ BENZ E220
TOYOTA,SUCCEED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",41015,41015,WHITE,,1500,223429,202003.0,,0,,2020,TOYOTA SUCCEED
LANDROVER,DISCOVERY,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",87480,87480,GREY,,3000,59772,201907.0,,0,,2019,LANDROVER DISCOVERY
TOYOTA,SUCCEED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",42741,42741,WHITE,,1500,211774,202003.0,,0,,2020,TOYOTA SUCCEED
LANDROVER,RANGE ROVER,"{'grade_uuid': 'a07ed516-4a88-4b9a-a73e-ce3daad041ad', 'grade': 'SPORTS'}",51763,51763,WHITE,,3000,65143,201904.0,,0,,2019,LANDROVER RANGE ROVER
SUZUKI,SOLIO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",75137,75137,BROWN,,1200,106847,202004.0,JAPAN,0,,2020,SUZUKI SOLIO
TOYOTA,ALPHARD,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",93762,93762,BLACK,,2500,92600,201912.0,,0,,2019,TOYOTA ALPHARD
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",46059,46059,WHITE,,1500,72106,202006.0,,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",25739,25739,WHITE,,1500,81103,201905.0,,0,,2019,TOYOTA PROBOX
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",25718,25718,SILVER,,1500,186714,202011.0,,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",51784,51784,NAVY BLUE,,1500,59493,202011.0,,0,,2020,TOYOTA PROBOX
TOYOTA,HILUX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",07920,07920,WHITE,,2400,106000,201812.0,MOMBASA,0,"KEYLESS ENTRY / EXIT, POWER DOOR LOCKS, POWER SIDE MIRRORS, POWER WINDOW, POWER STEERING, MULTIMEDIA CENTRE CONSOLE, ALLOY RIMS, FOG LIGHTS, DAYTIME RUNNING LED, ABS, LANE DEPARTURE WARNING SYSTEM (LDWS), PRE CRASH DETECTION ASSIST, SIDE MIRROR INDICATORS, CUP HOLDER, TRACTION CONTROL, 5 SEATER, PUSH  TO START, SIDE STEPS, MULTI FUNCTIONAL STEERING, CRUISE CONTROL, LEATHER SEATS, DRIVER'S ARMREST WITH STORAGE, ECO MODE, 4 DOORS, HEATED SEATS",2018,TOYOTA HILUX
HONDA,SHUTTLE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",11252,11252,SILVER,,1500,114880,201903.0,,0,,2019,HONDA SHUTTLE
LEXUS,NX300,N/A,12915,12915,BLACK,,2500,85496,201902.0,,0,,2019,LEXUS NX300
TOYOTA,SIENTA,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",27149,27149,BRONZ,,1500,101484,202010.0,JAPAN,0,,2020,TOYOTA SIENTA
AUDI,Q2,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",34433,34433,BLACK,,1000,86073,202011.0,,0,,2020,AUDI Q2
VOLKSWAGEN,TIGUAN,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",09785,09785,SILVER,,2000,34400,201910.0,MOMBASA,0,,2019,VOLKSWAGEN TIGUAN
VOLKSWAGEN,TIGUAN,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",53580,53580,PEARL,,2000,73982,201905.0,MOMBASA,0,,2019,VOLKSWAGEN TIGUAN
HONDA,FREED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",12003,12003,BLUE,,1500,145329,201908.0,,0,,2019,HONDA FREED
HONDA,VEZEL,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",10200,10200,PEARL,,1500,110600,201906.0,,0,,2019,HONDA VEZEL
TOYOTA,PRADO,N/A,09823,09823,PEARL,,2800,81706,202010.0,,0,,2020,TOYOTA PRADO
TOYOTA,HARRIER,N/A,10138,10138,PEARL,,2000,99373,201909.0,,0,,2019,TOYOTA HARRIER
TOYOTA,LANDCRUSIER,N/A,98599,98599,BLACK,,4600,23650,201910.0,,0,,2019,TOYOTA LANDCRUSIER
TOYOTA,PROBOX,N/A,48466,48466,SILVER,,1500,97830,202009.0,,0,,2020,TOYOTA PROBOX
BMW,X4,N/A,71737,71737,PEARL,,3000,35930,202010.0,,0,,2020,BMW X4
MERCEDEZ BENZ,GLC63,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",04680,04680,PEARL,,4000,33599,201907.0,NAIROBI,0,,2019,MERCEDEZ BENZ GLC63
MERCEDEZ BENZ,GLE400,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",47750,47750,PEARL,,3000,17076,202103.0,MOMBASA,0,,2021,MERCEDEZ BENZ GLE400
TOYOTA,RAIZE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",03540,03540,PEARL,,1000,45013,201911.0,JAPAN,0,,2019,TOYOTA RAIZE
TOYOTA,RAIZE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",06796,06796,PEARL,,1000,65288,202001.0,,0,,2020,TOYOTA RAIZE
TOYOTA,HIACE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",30896,30896,WHITE,,2800,205791,201912.0,JAPAN,0,,2019,TOYOTA HIACE
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",49205,49205,WHITE,,1500,136267,202008.0,,0,,2020,TOYOTA PROBOX
HONDA,VEZEL,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",34677,34677,GREY,,1500,117175,201902.0,,0,,2019,HONDA VEZEL
NISSAN,NOTE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",60911,60911,GREY,,1200,85046,201904.0,,0,,2019,NISSAN NOTE
MAZDA,CX-5,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",07929,07929,BLACK,,2200,120000,202011.0,,0,,2020,MAZDA CX-5
TOYOTA,PRADO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",97805,97805,BLACK,,2700,119730,201903.0,,0,,2019,TOYOTA PRADO
TOYOTA,AQUA,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",46631,46631,BLUE,,1500,119094,201909.0,JAPAN,0,,2019,TOYOTA AQUA
TOYOTA,CROWN,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",49487,49487,BLUE,,2500,149070,201911.0,,0,,2019,TOYOTA CROWN
TOYOTA,VELLFIRE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",39337,39337,BLACK,,2500,127298,201902.0,,0,,2019,TOYOTA VELLFIRE
TOYOTA,NOAH,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",47774,47774,PEARL,,2000,92329,201908.0,,0,,2019,TOYOTA NOAH
HONDA,FREED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",93552,93552,BLACK,,1500,102769,201903.0,,0,,2019,HONDA FREED
SUBARU,FORESTER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",29816,29816,BLACK,,2000,89929,201909.0,,0,,2019,SUBARU FORESTER
TOYOTA,VITZ,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",11858,11858,PEARL,,1300,71402,201903.0,,0,,2019,TOYOTA VITZ
SUBARU,FORESTER,N/A,20601,20601,KHAKI,,2500,104295,201905.0,JAPAN,0,,2019,SUBARU FORESTER
MAZDA,DEMIO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",27128,27128,BLUE,,1500,8223,201907.0,,0,,2019,MAZDA DEMIO
TOYOTA,HILUX,N/A,12111,12111,SILVER,,2400,67680,201907.0,,0,,2019,TOYOTA HILUX
TOYOTA,PROBOX,N/A,22062,22062,WHITE,,1500,98526,202007.0,,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,55658,55658,WHITE,,1300,106785,202010.0,,0,,2020,TOYOTA PROBOX
TOYOTA,SUCCEED,N/A,20179,20179,WHITE,,1500,96714,201901.0,,0,,2019,TOYOTA SUCCEED
TOYOTA,SUCCEED,N/A,12555,12555,SILVER,,1500,140589,201911.0,,0,,2019,TOYOTA SUCCEED
SUBARU,FORESTER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",41199,41199,BLUE,,2000,0,201804.0,MOMBASA,0,,2018,SUBARU FORESTER
TOYOTA,PROBOX,N/A,48461,48461,WHITE,,1300,108235,201909.0,,0,,2019,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,12251,12251,SILVER,,1500,164447,201910.0,,0,,2019,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,48540,48540,WHITE,,1500,66692,202011.0,,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,48658,48658,WHITE,,1500,64501,202011.0,,0,,2020,TOYOTA PROBOX
LANDROVER,RANGE ROVER,"{'grade_uuid': 'a07ed516-4a88-4b9a-a73e-ce3daad041ad', 'grade': 'SPORTS'}",24614,24614,BLACK,,3000,66914,201905.0,MOMBASA,0,,2019,LANDROVER RANGE ROVER
MERCEDEZ BENZ,E63,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",74001,74001,BLACK,,4000,41296,202010.0,,0,,2020,MERCEDEZ BENZ E63
SUZUKI,WAGON R,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",55648,55648,SILVER,,660,20070,201901.0,JAPAN,0,,2019,SUZUKI WAGON R
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",68972,68972,WHITE,,1500,234838,201911.0,,0,,2019,TOYOTA PROBOX
MAZDA,DEMIO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",25824,25824,WHITE,,1500,58411,201910.0,,0,,2019,MAZDA DEMIO
TOYOTA,ROOMY,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",55386,55386,BLUE,,1000,127670,201901.0,,0,,2019,TOYOTA ROOMY
TOYOTA,RAV4,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",12236,12236,PEARL,,2000,52139,201912.0,,0,,2019,TOYOTA RAV4
SUZUKI,SWIFT,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",06915,06915,BLACK,,1000,72051,201910.0,,0,,2019,SUZUKI SWIFT
TOYOTA,YARIS,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",32081,32081,PEARL,,1500,143975,202009.0,,0,,2020,TOYOTA YARIS
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",80398,80398,WHITE,,1500,242500,202009.0,,0,,2020,TOYOTA PROBOX
VOLKSWAGEN,TIGUAN,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",31541,31541,BLACK,,2000,50546,201903.0,MOMBASA,0,,2019,VOLKSWAGEN TIGUAN
SUZUKI,WAGON R,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",29542,29542,BLUE,,660,81860,201902.0,MOMBASA,0,,2019,SUZUKI WAGON R
AUDI,Q7,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",05501,05501,BLACK,,3000,72769,201812.0,MOMBASA,0,"KEYLESS ENTRY / EXIT, POWER DOOR LOCKS, POWER SIDE MIRRORS, POWER WINDOW, POWER STEERING, MULTIMEDIA CENTRE CONSOLE, ALLOY RIMS, POWER BOOT, DAYTIME RUNNING LED, POWER SEATS, ELECTRIC HANDBRAKE, DRIVING MODE SELECTOR, ABS, LANE DEPARTURE WARNING SYSTEM (LDWS), PRE CRASH DETECTION ASSIST, PARKING SENSORS & CAMERAS, SIDE MIRROR INDICATORS, MEMORY SEATS, USB PORT, CUP HOLDER, POWER PANORAMIC SUNROOF, DIGITAL DISPLAY, LED HEADLIGHTS, TRACTION CONTROL, 5 DOOR, PUSH  TO START, MULTI FUNCTIONAL STEERING, FULL DIGITAL CLUSTER METER, CRUISE CONTROL, POWER TAILGATE, LEATHER SEATS, 7 SEATER, HEATED SEATS, FRONT AND REAR HEATED SEATS",2018,AUDI Q7
MERCEDEZ BENZ,GLC220,N/A,12884,12884,BLUE,,2000,104917,201911.0,,0,,2019,MERCEDEZ BENZ GLC220
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",24950,24950,WHITE,,1500,139442,202010.0,,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",13681,13681,SILVER,,1500,85645,201810.0,MOMBASA,0,,2018,TOYOTA PROBOX
TOYOTA,HIACE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",56216,56216,PURPLE,,2700,114772,201905.0,MOMBASA,0,,2019,TOYOTA HIACE
TOYOTA,LANDCRUSIER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",26346,26346,BLACK,,3500,3134,202312.0,,0,,2023,TOYOTA LANDCRUSIER
TOYOTA,TANK,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",88153,88153,PEARL,,1000,115920,201910.0,,0,,2019,TOYOTA TANK
TOYOTA,FIELDER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",26990,26990,WHITE,,1500,91179,201911.0,JAPAN,0,,2019,TOYOTA FIELDER
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",63877,63877,SILVER,,1500,162708,201905.0,,0,,2019,TOYOTA PROBOX
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",23774,23774,SILVER,,1500,149112,202010.0,,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",12777,12777,SILVER,,1500,153582,201910.0,NAIROBI,0,,2019,TOYOTA PROBOX
HONDA,GRACE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",06776,06776,SILVER,,1500,101915,201810.0,MOMBASA,0,,2018,HONDA GRACE
HONDA,FREED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",94076,94076,SILVER,,1500,112043,201902.0,,0,,2019,HONDA FREED
HONDA,VEZEL,N/A,43361,43361,BLUE,,1500,107927,201905.0,,0,,2019,HONDA VEZEL
HONDA,STEPWGN,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",04635,04635,PEARL,,1500,129131,201905.0,,0,,2019,HONDA STEPWGN
NISSAN,X-TRAIL,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",01315,01315,BLUE,,2000,99800,202008.0,,0,,2020,NISSAN X-TRAIL
NISSAN,NV200,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",39320,39320,WHITE,,1600,126838,201909.0,MOMBASA,0,,2019,NISSAN NV200
MERCEDEZ BENZ,GLE350d,"{'grade_uuid': 'f827f1a9-bc94-431e-a191-be901feb77b1', 'grade': 'WALD'}",01130,01130,BLUE,,3000,56708,201805.0,MOMBASA,0,,2018,MERCEDEZ BENZ GLE350d
SUBARU,FORESTER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",41999,41999,PEARL,,2000,141433,201806.0,NAIROBI,0,,2018,SUBARU FORESTER
TOYOTA,SUCCEED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",54759,54759,SILVER,,1500,170153,201810.0,MOMBASA,0,,2018,TOYOTA SUCCEED
TOYOTA,PREMIO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",20084,20084,GREEN,,1500,68245,201906.0,,0,,2019,TOYOTA PREMIO
TOYOTA,HARRIER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",08970,08970,BLACK,,2000,52219,201901.0,MOMBASA,0,,2019,TOYOTA HARRIER
TOYOTA,HARRIER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",77803,77803,PEARL,,2000,40829,201906.0,,0,,2019,TOYOTA HARRIER
SUBARU,FORESTER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",02702,02702,GREY,,2500,79784,201807.0,MOMBASA,0,"KEYLESS ENTRY / EXIT, POWER DOOR LOCKS, POWER SIDE MIRRORS, POWER WINDOW, POWER STEERING, ALLOY RIMS, POWER BOOT, ROOF RAILS, FOG LIGHTS, DAYTIME RUNNING LED, POWER SEATS, ELECTRIC HANDBRAKE, PADDLE SHIFTERS, ABS, LANE DEPARTURE WARNING SYSTEM (LDWS), PRE CRASH DETECTION ASSIST, PARKING SENSORS & CAMERAS, SIDE MIRROR INDICATORS, CUP HOLDER, HEATED STEERING WHEEL, TRACTION CONTROL, 5 DOOR, 5 SEATER, PUSH  TO START, MULTI FUNCTIONAL STEERING, CRUISE CONTROL, HEATED SEATS, HALF LEATHER SEATS",2018,SUBARU FORESTER
TOYOTA,LANDCRUSIER,"{'grade_uuid': 'a07ed516-55f9-46fc-bc5c-e8c929d494dd', 'grade': 'GR'}",05247,05247,GREY,,3500,5440,202308.0,MOMBASA,0,,2023,TOYOTA LANDCRUSIER
SUBARU,FORESTER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",14295,14295,SILVER,,2500,96309,201812.0,NAIROBI,0,,2018,SUBARU FORESTER
SUBARU,FORESTER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",15429,15429,WHITE,,2500,83814,201902.0,MOMBASA,0,,2019,SUBARU FORESTER
TOYOTA,PROBOX,N/A,25831,25831,WHITE,,1500,178516,202010.0,,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,27589,27589,WHITE,,1500,148344,201908.0,,0,,2019,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,26078,26078,WHITE,,1500,104788,202010.0,,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,25978,25978,WHITE,,1500,127256,202010.0,,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",14549,14549,SILVER,,1500,141461,201810.0,MOMBASA,0,,2018,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,51804,51804,WHITE,,1500,204965,202010.0,,0,,2020,TOYOTA PROBOX
MISTUBISHI,OUTLANDER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",01732,01732,BLACK,,2000,38905,201906.0,,0,,2019,MISTUBISHI OUTLANDER
TOYOTA,SUCCEED,N/A,12606,12606,SILVER,,1500,108429,201910.0,,0,,2019,TOYOTA SUCCEED
TOYOTA,SUCCEED,N/A,02495,02495,SILVER,,1500,110701,201903.0,,0,,2019,TOYOTA SUCCEED
MAZDA,CX-5,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",06473,06473,BLUE,,2000,85013,201909.0,,0,,2019,MAZDA CX-5
TOYOTA,ROOMY,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",55539,55539,BLACK,,1000,122219,201902.0,,0,,2019,TOYOTA ROOMY
MAZDA,CX-5,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",16226,16226,PEARL,,2200,143257,201904.0,MOMBASA,0,,2019,MAZDA CX-5
TOYOTA,SIENTA,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",02572,02572,GREEN,,1500,46900,201906.0,MOMBASA,0,,2019,TOYOTA SIENTA
TOYOTA,SUCCEED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",01432,01432,SILVER,,1500,100461,201812.0,MOMBASA,0,,2018,TOYOTA SUCCEED
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",13381,13381,SILVER,,1500,169554,201810.0,NAIROBI,0,,2018,TOYOTA PROBOX
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",33864,33864,WHITE,,1500,106268,201910.0,MOMBASA,0,,2019,TOYOTA PROBOX
SUBARU,FORESTER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",21889,21889,PEARL,,2000,81523,201804.0,MOMBASA,0,"KEYLESS ENTRY / EXIT, POWER DOOR LOCKS, POWER SIDE MIRRORS, POWER WINDOW, POWER STEERING, ALLOY RIMS, ROOF RAILS, FOG LIGHTS, DAYTIME RUNNING LED, POWER SEATS, PADDLE SHIFTERS, ABS, LANE DEPARTURE WARNING SYSTEM (LDWS), PRE CRASH DETECTION ASSIST, SIDE MIRROR INDICATORS, CUP HOLDER, TRACTION CONTROL, 5 DOOR, 5 SEATER, PUSH  TO START, MULTI FUNCTIONAL STEERING, CRUISE CONTROL, HEATED SEATS, HALF LEATHER SEATS",2018,SUBARU FORESTER
TOYOTA,SUCCEED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",32452,32452,WHITE,,1500,77038,201910.0,MOMBASA,0,,2019,TOYOTA SUCCEED
HONDA,FIT,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",48236,48236,GREY,,1500,119237,201903.0,,0,,2019,HONDA FIT
HONDA,VEZEL,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",71373,71373,PEARL,,1500,103392,201802.0,NAIROBI,0,,2018,HONDA VEZEL
TOYOTA,RAV4,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",03497,03497,KHAKI,,2000,97099,201905.0,NAIROBI,0,,2019,TOYOTA RAV4
TOYOTA,VITZ,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",11338,11338,BLUE,,1500,117060,201904.0,MOMBASA,0,,2019,TOYOTA VITZ
SUZUKI,ESCUDO,N/A,57239,57239,BLUE,,1400,127942,201906.0,,0,,2019,SUZUKI ESCUDO
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",13532,13532,WHITE,,1500,194207,201810.0,NAIROBI,0,,2018,TOYOTA PROBOX
TOYOTA,HILUX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",06922,06922,BLACK,,2400,94844,201810.0,MOMBASA,0,,2018,TOYOTA HILUX
TOYOTA,HILUX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",06090,06090,BLACK,,2400,43000,201809.0,MOMBASA,0,,2018,TOYOTA HILUX
MERCEDEZ BENZ,S63,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",04157,04157,WHITE,,4000,64074,201805.0,MOMBASA,0,,2018,MERCEDEZ BENZ S63
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",01139,01139,SILVER,,1500,48802,201805.0,MOMBASA,0,,2018,TOYOTA PROBOX
